game,session,track,car,lap,start,end,time,length,valid
Assetto Corsa (64 bit),1671630140,ks_silverstone:international,ks_mazda_mx5_cup,5,2022-12-21 14:49:56.333704+00:00,2022-12-21 14:51:17.153179+00:00,80.7960052,2944,True
Assetto Corsa (64 bit),1671630845,ks_silverstone:international,ks_mazda_mx5_cup,2,2022-12-21 14:58:24.355139+00:00,2022-12-21 14:59:46.331066+00:00,81.923996,2944,True
Assetto Corsa (64 bit),1671630140,ks_silverstone:international,ks_mazda_mx5_cup,1,2022-12-21 14:42:37.589871+00:00,2022-12-21 14:45:34.274302+00:00,82.182,2944,True
Assetto Corsa (64 bit),1671630845,ks_silverstone:international,ks_mazda_mx5_cup,1,2022-12-21 14:57:01.943449+00:00,2022-12-21 14:58:24.338425+00:00,82.326004,2943,True
Assetto Corsa (64 bit),1671630140,ks_silverstone:international,ks_mazda_mx5_cup,2,2022-12-21 14:45:34.304805+00:00,2022-12-21 14:46:56.746199+00:00,82.407,2944,True
Assetto Corsa (64 bit),1671629436,ks_silverstone:international,ks_mazda_mx5_cup,2,2022-12-21 14:36:41.266658+00:00,2022-12-21 14:38:03.940645+00:00,82.62,2944,True
Assetto Corsa (64 bit),1671630140,ks_silverstone:international,ks_mazda_mx5_cup,3,2022-12-21 14:46:56.778664+00:00,2022-12-21 14:48:26.441389+00:00,89.65201,2944,True
Assetto Corsa (64 bit),1671630140,ks_silverstone:international,ks_mazda_mx5_cup,4,2022-12-21 14:48:26.472474+00:00,2022-12-21 14:49:56.301853+00:00,89.799,2944,True
iRacing,1671547370,brandshatch grandprix,Lamborghini Huracan GT3 EVO,4,2022-12-20 15:46:06.012648+00:00,2022-12-20 15:46:33.508135+00:00,27.5779343,3890,True
Assetto Corsa (64 bit),1671530933,ks_silverstone:international,tatuusfa1,2,2022-12-20 11:11:24.635968+00:00,2022-12-20 11:12:33.568447+00:00,68.919,2941,True
Assetto Corsa (64 bit),1671530933,ks_silverstone:international,tatuusfa1,1,2022-12-20 11:08:59.257476+00:00,2022-12-20 11:11:24.529752+00:00,70.998,2939,True
iRacing,1670270711,roadamerica full,Kia Optima,3,2022-12-05 21:16:48.037832+00:00,2022-12-05 21:19:07.628161+00:00,139.6046,6408,True
iRacing,1670266040,roadamerica full,Kia Optima,5,2022-12-05 19:56:58.484877+00:00,2022-12-05 19:59:18.385821+00:00,139.965469,6407,True
iRacing,1670270711,roadamerica full,Kia Optima,2,2022-12-05 21:14:27.967199+00:00,2022-12-05 21:16:48.006898+00:00,140.061035,6408,True
iRacing,1670266040,roadamerica full,Kia Optima,4,2022-12-05 19:54:38.415424+00:00,2022-12-05 19:56:58.439916+00:00,140.063263,6409,True
iRacing,1670272422,roadamerica full,Kia Optima,1,2022-12-05 21:36:13.679191+00:00,2022-12-05 21:38:33.835088+00:00,140.185135,6409,True
